word,sign_type,file_path
a,video,/SL/a/01610.mp4
a,video,/SL/a/01611.mp4
a,video,/SL/a/01612.mp4
a,video,/SL/a/01615.mp4
a,video,/SL/a/66039.mp4
a lot,video,/SL/a lot/02124.mp4
a lot,video,/SL/a lot/02125.mp4
a lot,video,/SL/a lot/02126.mp4
a lot,video,/SL/a lot/02128.mp4
a lot,video,/SL/a lot/02129.mp4
a lot,video,/SL/a lot/02130.mp4
a lot,video,/SL/a lot/02131.mp4
abdomen,video,/SL/abdomen/00335.mp4
abdomen,video,/SL/abdomen/00336.mp4
abdomen,video,/SL/abdomen/00338.mp4
abdomen,video,/SL/abdomen/00339.mp4
abdomen,video,/SL/abdomen/00341.mp4
able,video,/SL/able/00376.mp4
able,video,/SL/able/00377.mp4
able,video,/SL/able/00378.mp4
able,video,/SL/able/00381.mp4
able,video,/SL/able/00382.mp4
able,video,/SL/able/00384.mp4
about,video,/SL/about/00414.mp4
about,video,/SL/about/00415.mp4
about,video,/SL/about/00416.mp4
about,video,/SL/about/00421.mp4
about,video,/SL/about/00426.mp4
about,video,/SL/about/65002.mp4
about,video,/SL/about/65003.mp4
above,video,/SL/above/00430.mp4
above,video,/SL/above/00431.mp4
above,video,/SL/above/00433.mp4
above,video,/SL/above/00435.mp4
above,video,/SL/above/65004.mp4
accent,video,/SL/accent/00583.mp4
accent,video,/SL/accent/00584.mp4
accent,video,/SL/accent/00585.mp4
accent,video,/SL/accent/00586.mp4
accent,video,/SL/accent/65006.mp4
accept,video,/SL/accept/00592.mp4
accept,video,/SL/accept/00593.mp4
accept,video,/SL/accept/00594.mp4
accept,video,/SL/accept/00597.mp4
accept,video,/SL/accept/00599.mp4
accept,video,/SL/accept/00600.mp4
accept,video,/SL/accept/00603.mp4
accept,video,/SL/accept/65007.mp4
accident,video,/SL/accident/00623.mp4
accident,video,/SL/accident/00624.mp4
accident,video,/SL/accident/00625.mp4
accident,video,/SL/accident/00626.mp4
accident,video,/SL/accident/00627.mp4
accident,video,/SL/accident/00628.mp4
accident,video,/SL/accident/00629.mp4
accident,video,/SL/accident/00631.mp4
accident,video,/SL/accident/00632.mp4
accident,video,/SL/accident/00633.mp4
accident,video,/SL/accident/00634.mp4
accident,video,/SL/accident/00639.mp4
